Date,Narration,Chq/Ref Number,Withdrawal (INR),Deposit (INR),Closing Balance (INR)
02-02-2026,RENT PAYMENT FEB,UPI/1019,15000.00,,73137.00
03-02-2026,NETFLIX SUBSCRIPTION,SUB/105,649.00,,72488.00
04-02-2026,ZOMATO LUNCH ORDER,UPI/1020,450.00,,72038.00
05-02-2026,ELECTRICITY BILL FEB,BILL/204,3100.00,,68938.00
06-02-2026,FLIPKART ELECTRONICS SALE,UPI/1021,7999.00,,60939.00
07-02-2026,UBER DAILY COMMUTE,UPI/1022,320.00,,60619.00
08-02-2026,SIP HDFC BALANCED FUND,SIP/303,5000.00,,55619.00
09-02-2026,ACT FIBERNET BROADBAND,BILL/205,999.00,,54620.00
10-02-2026,AMAZON PAY RECHARGE,UPI/1023,1000.00,,53620.00
11-02-2026,DMART GROCERY STORE,UPI/1024,2100.00,,51520.00
12-02-2026,EMI CAR LOAN FEBRUARY,LOAN/602,12500.00,,39020.00
13-02-2026,SIP AXIS BLUECHIP FUND,SIP/304,5000.00,,34020.00
14-02-2026,SPOTIFY PREMIUM SUB,SUB/106,119.00,,33901.00
15-02-2026,SWIGGY VALENTINE ORDER,UPI/1025,380.00,,33521.00
16-02-2026,PHONE BILL POSTPAID,BILL/206,850.00,,32671.00
17-02-2026,GOOGLE ONE STORAGE,SUB/107,130.00,,32541.00
18-02-2026,MAKEMYTRIP HOTEL BOOKING,TKT/503,3450.00,,29091.00
19-02-2026,ZOMATO DINNER DELIVERY,UPI/1026,620.00,,28471.00
20-02-2026,ATM WITHDRAWAL HDFC,ATM/802,4000.00,,24471.00
21-02-2026,INVESTMENT PPF DEPOSIT,PPF/402,12500.00,,11971.00
22-02-2026,JIO RECHARGE PREPAID,UPI/1027,2999.00,,8972.00
23-02-2026,DMART SHOPPING STORE,UPI/1028,1870.00,,7102.00
24-02-2026,MEDICAL STORE MEDICINES,UPI/1029,450.00,,6652.00
25-02-2026,INTL TRANSACTION FEE,FX/702,200.00,,6452.00
26-02-2026,BIGBASKET MONTHLY ORDER,UPI/1030,1550.00,,4902.00
27-02-2026,NPS CONTRIBUTION FEB,NPS/902,3000.00,,1902.00
28-02-2026,REFUND FLIPKART CANCELLATION,REF/001,,2500.00,4402.00
01-03-2026,CREDIT SALARY ABC CORP,PAYROLL/003,,85000.00,89402.00
02-03-2026,RENT PAYMENT MAR,UPI/1031,15000.00,,74402.00
03-03-2026,SWIGGY LUNCH DEAL,UPI/1032,350.00,,74052.00
03-03-2026,ZOMATO BIRYANI HOUSE,UPI/1033,480.00,,73572.00
04-03-2026,AMAZON GROCERY SUPPLIES,UPI/1034,1899.00,,71673.00
05-03-2026,NETFLIX SUBSCRIPTION,SUB/108,649.00,,71024.00
06-03-2026,UBER TRIP TO AIRPORT,UPI/1035,520.00,,70504.00
07-03-2026,ELECTRICITY BILL MAR,BILL/207,3200.00,,67304.00
08-03-2026,JIO RECHARGE PREPAID,UPI/1036,2999.00,,64305.00
09-03-2026,DMART GROCERY STORE,UPI/1037,2100.00,,62205.00
10-03-2026,OLA CAB CITY RIDE,UPI/1038,290.00,,61915.00
11-03-2026,SIP HDFC BALANCED FUND,SIP/305,5000.00,,56915.00
12-03-2026,INFOSYS STOCK PURCHASE,STK/403,2500.00,,54415.00
13-03-2026,ACT FIBERNET BROADBAND,BILL/208,999.00,,53416.00
14-03-2026,ZOMATO FOOD DELIVERY,UPI/1039,650.00,,52766.00
15-03-2026,PHONE BILL POSTPAID,BILL/209,850.00,,51916.00
16-03-2026,AMAZON PRIME RENEWAL,SUB/109,1499.00,,50417.00
17-03-2026,SWIGGY INSTAMART ORDER,UPI/1040,820.00,,49597.00
18-03-2026,IRCTC TRAIN TICKET MUMBAI,TKT/504,980.00,,48617.00
19-03-2026,DMART WEEKLY STORE,UPI/1041,1950.00,,46667.00
20-03-2026,SIP AXIS BLUECHIP FUND,SIP/306,5000.00,,41667.00
21-03-2026,MAKEMYTRIP BUS TICKET,TKT/505,1200.00,,40467.00
22-03-2026,FORTIS HEALTH CHECKUP,UPI/1042,2500.00,,37967.00
23-03-2026,DOMINOS PIZZA DELIVERY,UPI/1043,750.00,,37217.00
24-03-2026,EMI CAR LOAN MARCH,LOAN/603,12500.00,,24717.00
25-03-2026,FUEL HPCL PETROL PUMP,UPI/1044,600.00,,24117.00
26-03-2026,BIGBASKET MONTHLY STORE,UPI/1045,1350.00,,22767.00
27-03-2026,SPOTIFY PREMIUM SUB,SUB/110,119.00,,22648.00
28-03-2026,GOOGLE ONE SUBSCRIPTION,SUB/111,130.00,,22518.00
29-03-2026,AMAZON FASHION SALE,UPI/1046,4200.00,,18318.00
30-03-2026,NPS CONTRIBUTION MAR,NPS/903,3000.00,,15318.00
30-03-2026,INTERNATIONAL TXN FEE,FX/703,200.00,,15118.00
31-03-2026,ATM WITHDRAWAL ICICI,ATM/803,4000.00,,11118.00
31-03-2026,HDFC BANK CASHBACK REWARD,CBD/002,,750.00,11868.00
