Date,Narration,Chq/Ref Number,Withdrawal (INR),Deposit (INR),Closing Balance (INR)
19-06-2026,SWIGGY DINING OUT WEEKEND,UPI/SWG/010,1200.00,,59260.00
20-06-2026,AMAZON ELECTRONICS PURCHASE,UPI/AMZ/011,8999.00,,50261.00
20-06-2026,SPOTIFY PREMIUM SUBSCRIPTION,SUB/SPT/103,119.00,,50142.00
21-06-2026,BIGBASKET MONTHLY ESSENTIALS,UPI/BGB/012,1550.00,,48592.00
22-06-2026,EMI HOME LOAN JUNE INSTALLMENT,LOAN/EMI/301,18500.00,,30092.00
23-06-2026,FUEL IOCL PETROL PUMP,UPI/IOC/013,500.00,,29592.00
24-06-2026,APOLLO PHARMACY MEDICINES,UPI/APL/014,780.00,,28812.00
25-06-2026,PIZZA HUT FAMILY DINNER,UPI/PZH/015,1350.00,,27462.00
25-06-2026,GOOGLE ONE 200GB PLAN,SUB/GOO/104,219.00,,27243.00
26-06-2026,MOBILE RECHARGE PREPAID PLAN,UPI/MOB/016,349.00,,26894.00
27-06-2026,INTERNATIONAL TRANSACTION FEE,CHG/FX/001,250.00,,26644.00
28-06-2026,AMAZON FASHION FESTIVAL SALE,UPI/AMZ/017,4250.00,,22394.00
29-06-2026,NPS TIER 1 CONTRIBUTION JUNE,NPS/401,5000.00,,17394.00
30-06-2026,DMART LAST DAY MONTHLY,UPI/DMT/018,2340.00,,15054.00
30-06-2026,ATM WITHDRAWAL ICICI BANK,ATM/ICICI/501,5000.00,,10054.00
30-06-2026,CREDIT DEBIT CARD REWARD POINTS,REW/CBD/001,,1250.00,11304.00
01-07-2026,CREDIT SALARY TECHNO CORP,PAYROLL/2026-07,,125000.00,136304.00
02-07-2026,RENT PAYMENT JULY 2026,UPI/RENT/002,22000.00,,114304.00
03-07-2026,NETFLIX PREMIUM SUBSCRIPTION,SUB/NFLX/105,649.00,,113655.00
04-07-2026,ZOMATO LUNCH ORDER OFFICE,UPI/ZOM/019,450.00,,113205.00
05-07-2026,ELECTRICITY BILL JULY 2026,BILL/ELE/004,3200.00,,110005.00
06-07-2026,RELIANCE JIO RECHARGE PLAN,UPI/JIO/020,2999.00,,107006.00
07-07-2026,SWIGGY FOOD ORDER #8912,UPI/SWG/021,560.00,,106446.00
08-07-2026,UBER WEEKLY COMMUTE PASS,UPI/UBR/022,1500.00,,104946.00
09-07-2026,DMART GROCERY STORE VISIT,UPI/DMT/023,1920.00,,103026.00
10-07-2026,SIP HDFC MIDCAP OPPORTUNITIES,SIP/HDFC/203,7500.00,,95526.00
10-07-2026,SPOTIFY PREMIUM RENEWAL,SUB/SPT/106,119.00,,95407.00
11-07-2026,AMAZON BASICS HOME SUPPLIES,UPI/AMZ/024,1649.00,,93758.00
12-07-2026,ACT FIBERNET BROADBAND BILL,BILL/ACT/005,999.00,,92759.00
13-07-2026,FORTIS HOSPITAL CHECKUP,UPI/FRT/025,3500.00,,89259.00
14-07-2026,PHONE BILL POSTPAID PLAN,BILL/PHN/006,1250.00,,88009.00
15-07-2026,DMART EXPRESS GROCERY,UPI/DMT/026,850.00,,87159.00
16-07-2026,AMAZON SALE MOBILE COVERS,UPI/AMZ/027,599.00,,86560.00
17-07-2026,EMI HOME LOAN JULY,LOAN/EMI/302,18500.00,,68060.00
18-07-2026,SIP AXIS SMALL CAP FUND,SIP/AXIS/204,5000.00,,63060.00
19-07-2026,SWIGGY SUNDAY LUNCH DEAL,UPI/SWG/028,750.00,,62310.00
20-07-2026,GOOGLE ONE SUBSCRIPTION RENEWAL,SUB/GOO/107,219.00,,62091.00
21-07-2026,OLA CAB TO RAILWAY STATION,UPI/OLA/029,280.00,,61811.00
22-07-2026,BIGBASKET MONTHLY ORDER,UPI/BGB/030,1650.00,,60161.00
23-07-2026,FUEL HPCL PETROL PUMP,UPI/HPC/031,600.00,,59561.00
24-07-2026,ZOMATO BIRYANI DELIVERY,UPI/ZOM/032,520.00,,59041.00
25-07-2026,MAKEMYTRIP BUS BOOKING,TKT/MMT/003,850.00,,58191.00
25-07-2026,AMAZON PRIME VIDEO RENEWAL,SUB/AMZ/108,1499.00,,56692.00
26-07-2026,PHARMACY MEDICAL STORE,UPI/MED/033,450.00,,56242.00
27-07-2026,MOBILE RECHARGE TOPUP,UPI/MOB/034,349.00,,55893.00
28-07-2026,NPS TIER 1 CONTRIBUTION JULY,NPS/402,5000.00,,50893.00
29-07-2026,PIZZA HUT WEEKEND OFFER,UPI/PZH/035,1100.00,,49793.00
30-07-2026,ATM WITHDRAWAL HDFC BANK,ATM/HDFC/502,4000.00,,45793.00
31-07-2026,CREDIT CASHBACK REWARD POINTS,REW/CBD/002,,800.00,46593.00
01-08-2026,CREDIT SALARY TECHNO CORP,PAYROLL/2026-08,,125000.00,171593.00
02-08-2026,RENT PAYMENT AUGUST 2026,UPI/RENT/003,22000.00,,149593.00
03-08-2026,NETFLIX PREMIUM SUBSCRIPTION,SUB/NFLX/109,649.00,,148944.00
04-08-2026,ELECTRICITY BILL AUG 2026,BILL/ELE/007,3100.00,,145844.00
05-08-2026,SWIGGY ORDER #9345 SPECIAL,UPI/SWG/036,680.00,,145164.00
06-08-2026,RELIANCE JIO RECHARGE PREPAID,UPI/JIO/037,2999.00,,142165.00
07-08-2026,ZOMATO ORDER RESTAURANT,UPI/ZOM/038,580.00,,141585.00
08-08-2026,DMART FESTIVE SHOPPING,UPI/DMT/039,4250.00,,137335.00
09-08-2026,UBER TRIP CITY RIDE,UPI/UBR/040,350.00,,136985.00
10-08-2026,SIP HDFC MIDCAP OPPORTUNITIES,SIP/HDFC/205,7500.00,,129485.00
10-08-2026,SPOTIFY PREMIUM SUBSCRIPTION,SUB/SPT/110,119.00,,129366.00
11-08-2026,FLIPKART BIG BILLION DAYS,UPI/FLP/041,12999.00,,116367.00
12-08-2026,ACT FIBERNET BROADBAND,BILL/ACT/008,999.00,,115368.00
13-08-2026,INDEPENDENCE DAY SHOPPING,UPI/AMZ/042,3200.00,,112168.00
14-08-2026,PHONE BILL POSTPAID PLAN,BILL/PHN/009,1250.00,,110918.00
15-08-2026,DMART WEEKEND STORE VISIT,UPI/DMT/043,1650.00,,109268.00
16-08-2026,EMI HOME LOAN AUGUST,LOAN/EMI/303,18500.00,,90768.00
17-08-2026,IRCTC TRAIN TICKET RESERVATION,TKT/IR/004,1650.00,,89118.00
18-08-2026,SIP AXIS SMALL CAP FUND,SIP/AXIS/206,5000.00,,84118.00
19-08-2026,NEFT/WIPRO LIMITED INVESTMENT,REF/NE/002,3000.00,,81118.00
20-08-2026,GOOGLE ONE STORAGE PLAN,SUB/GOO/111,219.00,,80899.00
21-08-2026,BIGBASKET MONTHLY STORE,UPI/BGB/044,1800.00,,79099.00
22-08-2026,FUEL BHARAT PETROLEUM,UPI/BPC/045,550.00,,78549.00
23-08-2026,ZOMATO FOOD DELIVERY,UPI/ZOM/046,430.00,,78119.00
24-08-2026,AMAZON KITCHEN APPLIANCES,UPI/AMZ/047,6499.00,,71620.00
25-08-2026,APOLLO HOSPITAL CONSULTATION,UPI/APL/048,2000.00,,69620.00
26-08-2026,MOBILE RECHARGE PLAN PREPAID,UPI/MOB/049,349.00,,69271.00
27-08-2026,NPS TIER 1 CONTRIBUTION AUG,NPS/403,5000.00,,64271.00
28-08-2026,SWIGGY DINNER ORDER #1023,UPI/SWG/050,920.00,,63351.00
29-08-2026,SUSPICIOUS FOREIGN TRANSACTION,CHG/FX/002,15000.00,,48351.00
30-08-2026,ATM WITHDRAWAL ICICI BANK,ATM/ICICI/503,6000.00,,42351.00
31-08-2026,CREDIT CASHBACK REWARDS,REW/CBD/003,,950.00,43301.00
01-09-2026,CREDIT SALARY TECHNO CORP,PAYROLL/2026-09,,125000.00,168301.00
02-09-2026,RENT PAYMENT SEPTEMBER 2026,UPI/RENT/004,22000.00,,146301.00
03-09-2026,NETFLIX PREMIUM SUBSCRIPTION,SUB/NFLX/112,649.00,,145652.00
03-09-2026,ZOMATO BIRTHDAY DINNER PARTY,UPI/ZOM/051,2450.00,,143202.00
04-09-2026,ELECTRICITY BILL SEP 2026,BILL/ELE/010,3300.00,,139902.00
05-09-2026,RELIANCE JIO FIBERNET PLAN,UPI/JIO/052,3999.00,,135903.00
06-09-2026,SWIGGY ORDER #1156 ONION,UPI/SWG/053,450.00,,135453.00
07-09-2026,DMART WEEKLY STORE VISIT,UPI/DMT/054,1980.00,,133473.00
08-09-2026,SIP HDFC MIDCAP OPPORTUNITIES,SIP/HDFC/207,7500.00,,125973.00
09-09-2026,SPOTIFY PREMIUM SUBSCRIPTION,SUB/SPT/113,119.00,,125854.00
10-09-2026,AMAZON FESTIVE SALE ELECTRONICS,UPI/AMZ/055,15999.00,,109855.00
11-09-2026,ACT FIBERNET BROADBAND BILL,BILL/ACT/011,999.00,,108856.00
12-09-2026,UBER TRIP MULTI-CITY,UPI/UBR/056,2300.00,,106556.00
13-09-2026,PHONE BILL POSTPAID PLAN,BILL/PHN/012,1250.00,,105306.00
14-09-2026,DMART GROCERY STORE VISIT,UPI/DMT/057,1100.00,,104206.00
15-09-2026,EMI HOME LOAN SEPTEMBER,LOAN/EMI/304,18500.00,,85706.00
16-09-2026,MAKEMYTRIP HOTEL BOOKING,TKT/MMT/005,4200.00,,81506.00
17-09-2026,SIP AXIS SMALL CAP FUND,SIP/AXIS/208,5000.00,,76506.00
18-09-2026,IRCTC TRAIN TICKET CONFIRMED,TKT/IR/006,1320.00,,75186.00
19-09-2026,GOOGLE ONE SUBSCRIPTION PLAN,SUB/GOO/114,219.00,,74967.00
20-09-2026,ZOMATO WEEKEND DELIVERY,UPI/ZOM/058,610.00,,74357.00
21-09-2026,BIGBASKET MONTHLY ORDERS,UPI/BGB/059,1720.00,,72637.00
22-09-2026,FUEL IOCL PETROL FILLING,UPI/IOC/060,480.00,,72157.00
23-09-2026,AMAZON HOME FURNISHING,UPI/AMZ/061,3799.00,,68358.00
24-09-2026,PIZZA HUT LUNCH SPECIAL,UPI/PZH/062,650.00,,67708.00
25-09-2026,APOLLO PHARMACY MEDICINE REFILL,UPI/APL/063,1200.00,,66508.00
26-09-2026,MOBILE RECHARGE PLAN,UPI/MOB/064,349.00,,66159.00
27-09-2026,INVESTMENT PPF DEPOSIT QUARTERLY,PPF/601,15000.00,,51159.00
28-09-2026,NPS TIER 1 CONTRIBUTION SEP,NPS/404,5000.00,,46159.00
29-09-2026,SWIGGY ORDER #1345 DELIVERY,UPI/SWG/065,780.00,,45379.00
30-09-2026,ATM WITHDRAWAL SBI BANK,ATM/SBI/504,5000.00,,40379.00
30-09-2026,CREDIT REFUND AMAZON RETURN,REF/AMZ/005,,2599.00,42978.00
